"勉強","15","0","0.0","0.0"
"自分","9","0","0.0","0.0"
"努力","7","0","0.0","0.0"
"大学","6","0","0.0","0.0"
"人","6","0","0.0","0.0"
"人間","4","0","0.0","0.0"
"受験","4","0","0.0","0.0"
"他人","4","0","0.0","0.0"
"失敗","4","0","0.0","0.0"
"成長","4","0","0.0","0.0"
"周り","3","0","0.0","0.0"
"最後","2","0","0.0","0.0"
"成功","2","0","0.0","0.0"
"希望","2","0","0.0","0.0"
"逆","2","0","0.0","0.0"
"思考","2","0","0.0","0.0"
"自身","2","0","0.0","0.0"
"選択肢","2","0","0.0","0.0"
"行動","2","0","0.0","0.0"
"力","2","0","0.0","0.0"
"神田","2","0","0.0","0.0"
"構成","2","0","0.0","0.0"
"気迫","2","0","0.0","0.0"
"合格","2","0","0.0","0.0"
"方針","2","0","0.0","0.0"
"人任せ","2","0","0.0","0.0"
"家族","2","0","0.0","0.0"
"言葉","2","0","0.0","0.0"
"責任","2","0","0.0","0.0"
"習慣","2","0","0.0","0.0"
"発見","2","0","0.0","0.0"
"エネルギー","2","0","0.0","0.0"
"昌典","2","0","0.0","0.0"
"限界","2","0","0.0","0.0"
"数","2","0","0.0","0.0"
"楽","2","0","0.0","0.0"
"分野","1","0","0.0","0.0"
"判断","1","0","0.0","0.0"
"ごろごろ","1","0","0.0","0.0"
"場所","1","0","0.0","0.0"
"出題","1","0","0.0","0.0"
"傾向","1","0","0.0","0.0"
"吸収","1","0","0.0","0.0"
"喝","1","0","0.0","0.0"
"苦しみ","1","0","0.0","0.0"
"次","1","0","0.0","0.0"
"細胞","1","0","0.0","0.0"
"志望","1","0","0.0","0.0"
"人生","1","0","0.0","0.0"
"要素","1","0","0.0","0.0"
"脳","1","0","0.0","0.0"
"携帯","1","0","0.0","0.0"
"信念","1","0","0.0","0.0"
"分析","1","0","0.0","0.0"
"経験","1","0","0.0","0.0"
"期待","1","0","0.0","0.0"
"恐怖","1","0","0.0","0.0"
"人格","1","0","0.0","0.0"
"刺激","1","0","0.0","0.0"
"問","1","0","0.0","0.0"
"止め","1","0","0.0","0.0"
"滑り","1","0","0.0","0.0"
"癖","1","0","0.0","0.0"
"一緒","1","0","0.0","0.0"
"環境","1","0","0.0","0.0"
"ろう","1","0","0.0","0.0"
"あと","1","0","0.0","0.0"
"友達","1","0","0.0","0.0"
"勝利","1","0","0.0","0.0"
"事例","1","0","0.0","0.0"
"ツケ","1","0","0.0","0.0"
"時代","1","0","0.0","0.0"
"一つ","1","0","0.0","0.0"
"目","1","0","0.0","0.0"
"スポーツ","1","0","0.0","0.0"
"気持ち","1","0","0.0","0.0"
"遊び","1","0","0.0","0.0"
"決断","1","0","0.0","0.0"
